system:index,LATNUM,LONGNUM,hv001,hv002,hv008,hvidx,month,precip_lag2,temp_lag2,year,.geo
00000000000000000059,0.317953,32.565348,7,28,1428,5,12,2.78377628326416,36.67727272727274,2018,"{""type"":""Point"",""coordinates"":[32.56534799999999,0.31795299053192144]}"
0000000000000000005a,0.317953,32.565348,7,37,1428,4,12,2.78377628326416,36.67727272727274,2018,"{""type"":""Point"",""coordinates"":[32.56534799999999,0.31795299053192144]}"
0000000000000000005b,0.317953,32.565348,7,37,1428,5,12,2.78377628326416,36.67727272727274,2018,"{""type"":""Point"",""coordinates"":[32.56534799999999,0.31795299053192144]}"
0000000000000000005c,0.317953,32.565348,7,40,1428,3,12,2.78377628326416,36.67727272727274,2018,"{""type"":""Point"",""coordinates"":[32.56534799999999,0.31795299053192144]}"
0000000000000000005d,0.317953,32.565348,7,44,1428,9,12,2.78377628326416,36.67727272727274,2018,"{""type"":""Point"",""coordinates"":[32.56534799999999,0.31795299053192144]}"
0000000000000000005e,0.317953,32.565348,7,83,1428,4,12,2.78377628326416,36.67727272727274,2018,"{""type"":""Point"",""coordinates"":[32.56534799999999,0.31795299053192144]}"
0000000000000000007a,0.313748,32.554932,10,16,1428,4,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
0000000000000000007b,0.313748,32.554932,10,16,1428,5,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
0000000000000000007c,0.313748,32.554932,10,71,1428,2,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
0000000000000000007d,0.313748,32.554932,10,99,1428,5,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
0000000000000000007e,0.313748,32.554932,10,154,1428,4,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
0000000000000000007f,0.313748,32.554932,10,172,1428,3,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
00000000000000000080,0.313748,32.554932,10,172,1428,4,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
00000000000000000081,0.313748,32.554932,10,181,1428,5,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
00000000000000000082,0.313748,32.554932,10,181,1428,6,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
00000000000000000083,0.313748,32.554932,10,181,1428,9,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
00000000000000000084,0.313748,32.554932,10,191,1428,6,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
00000000000000000085,0.313748,32.554932,10,209,1428,5,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
00000000000000000086,0.313748,32.554932,10,209,1428,6,12,3.1059277057647705,34.06454545454545,2018,"{""type"":""Point"",""coordinates"":[32.55493200000001,0.31374800205230713]}"
00000000000000000087,0.307901,32.618353,11,10,1428,3,12,3.131819725036621,34.82250000000005,2018,"{""type"":""Point"",""coordinates"":[32.618353,0.3079009950160981]}"
00000000000000000088,0.307901,32.618353,11,31,1428,8,12,3.131819725036621,34.82250000000005,2018,"{""type"":""Point"",""coordinates"":[32.618353,0.3079009950160981]}"
